tests_done,type1_easy,type1_medium,type1_hard,type2_easy,type2_medium,type2_hard,type3_easy,type3_medium,type3_hard,type4_easy,type4_medium,type4_hard,type5_easy,type5_medium,type5_hard
7,0.02,0.01968990420309128,0.013833140575983498,0.36,0.3233496151244435,0.29104433175523947,0.73,0.6008952468138158,0.5688345859418069,0.9,0.6872144855034953,0.6648692398309956,0.32,0.271517969292785,0.18720476836560906
14,0.31,0.26653411645395625,0.21010328281885093,0.42,0.3223018550327774,0.20708853131965185,0.28,0.27274028249375476,0.1685878932040455,0.38,0.33675372518781416,0.1868545357763596,0.33,0.26378726349334886,0.18411665301203875
11,0.7,0.5224877779081637,0.4067061972467673,0.79,0.7827402726012253,0.5815059674641165,0.07,0.06615460805000711,0.06434662699604575,0.58,0.44131265921736673,0.4268325923934184,0.42,0.4095235899652277,0.27898100674942167
1,0.48,0.35840274020362356,0.23007818056192136,0.4,0.39670305456832705,0.32998687477351607,0.92,0.8239588530966111,0.5095475320091968,0.21,0.15249172494564575,0.1408913355104914,0.98,0.8777160658088282,0.8432489168495371
8,0.64,0.4691773139086988,0.2942636441534041,0.24,0.20471293125634835,0.19811684216410858,0.63,0.5691327490878918,0.2902155068387736,0.35,0.33047388011875006,0.21625461857576803,0.07,0.06531154465191376,0.05089788380161288
18,0.61,0.43802255270744905,0.3990286976892085,0.72,0.6006593567400242,0.4929288195072414,0.63,0.4941409943007805,0.44156016007170096,0.83,0.7029694003852667,0.509132981912416,0.59,0.47850006759711916,0.41509268325298976
4,0.72,0.5499276584732672,0.3819119732576593,0.79,0.7822736646429144,0.575745917309073,0.5,0.4706785116956667,0.37737713567433695,0.49,0.35966344833382524,0.2501087387505206,0.63,0.5889772443153933,0.4946502186277951
12,0.02,0.016512441304903296,0.01047144709000418,0.22,0.15818974041946504,0.13904437575328865,0.6,0.5720525504815309,0.33512712438180303,0.37,0.31161965078581766,0.22174962501737747,0.39,0.3691262627953451,0.362063637037388
17,0.88,0.7927547958361885,0.6209291279952178,0.11,0.10076810809937235,0.08795666038758308,0.33,0.26222918592185734,0.14497174795882392,0.84,0.8321883067067467,0.6425791676479343,0.65,0.6081880226083102,0.46888003347065654
9,0.1,0.08152137342205756,0.0682115886221296,0.85,0.7668710362725172,0.575746108233147,0.61,0.5171853409446568,0.29665907544946746,0.67,0.6092515319103913,0.5063747580036997,0.67,0.6511214151104985,0.5134124918982069
