,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,6.93,2.1,3.0,2.0,4.0,6.0,5.0
1,1.0,6.93,2.1,3.0,2.0,4.0,6.0,5.0
2,2.0,6.93,2.1,3.0,2.0,4.0,6.0,5.0
3,3.0,6.93,2.1,3.0,2.0,4.0,6.0,5.0
4,4.0,6.93,2.1,3.0,2.0,4.0,6.0,5.0
5,5.0,6.83,2.0,3.0,2.0,3.0,6.0,6.0
6,6.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
7,7.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
8,8.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
9,9.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
10,10.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
11,11.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
12,12.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
13,13.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
14,14.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
15,15.0,5.08,1.75,3.0,1.0,5.0,7.0,4.0
16,16.0,5.03,2.2,2.0,1.0,3.0,7.0,7.0
17,17.0,5.03,2.2,2.0,1.0,3.0,7.0,7.0
18,18.0,5.03,2.2,2.0,1.0,3.0,7.0,7.0
19,19.0,4.98,2.15,2.0,2.0,4.0,6.0,6.0
